,BHK,SQUARE_FT,Target,State
122,2,1096.057239,72.0,Maharashtra
123,2,1020.049244,58.0,Maharashtra
124,2,1199.887069,85.0,karnataka
125,3,1501.812532,87.0,Maharashtra
126,2,873.6608792000002,47.3,Maharashtra
127,1,457.612203,31.2,Maharashtra
128,2,870.3859060000001,41.5,Maharashtra
129,3,1380.195795,86.0,Maharashtra
130,1,562.2913372,32.0,Maharashtra
131,3,1420.185571,75.0,karnataka
132,3,1401.206101,79.0,karnataka
133,3,1680.244399,99.0,karnataka
134,3,849.0165558,60.0,West Bengal
135,3,1773.0496449999998,110.0,karnataka
136,2,1050.052503,60.0,karnataka
137,2,899.8691098999999,55.0,karnataka
138,1,639.9317406,45.0,Maharashtra
139,2,1173.062998,81.0,karnataka
140,2,1087.150241,61.0,West Bengal
141,3,1500.0,75.0,Maharashtra
142,3,1434.901878,68.0,karnataka
143,2,1242.0431609999998,80.0,karnataka
144,1,470.388649,30.5,Maharashtra
145,2,1256.862179,87.0,karnataka
146,3,1400.124456,90.0,Maharashtra
147,2,1147.028154,55.0,West Bengal
148,2,1199.878493,79.0,karnataka
149,4,2632.040709,150.0,karnataka
150,2,1090.074584,76.0,karnataka
151,2,993.1122858,62.0,Maharashtra
152,3,1467.13615,100.0,karnataka
153,3,1635.244325,85.0,karnataka
154,1,708.7378641,36.5,Maharashtra
155,3,1296.17628,60.0,West Bengal
156,1,674.9401263,31.0,karnataka
157,3,1392.1453689999998,95.0,Maharashtra
158,3,1492.537313,100.0,karnataka
159,2,873.1082653999999,45.0,karnataka
160,2,1200.063161,76.0,karnataka
161,2,1220.232238,62.0,karnataka
162,2,1305.109024,82.0,karnataka
163,2,1000.0,70.0,Maharashtra
164,1,670.0167504,32.0,Maharashtra
165,2,1267.123288,92.5,karnataka
166,2,1253.031528,62.0,Maharashtra
167,3,1232.126559,81.0,karnataka
168,2,830.1158301,43.0,Maharashtra
169,3,1538.602604,83.9,karnataka
170,2,1419.920651,68.0,karnataka
171,2,1113.0434779999998,64.0,Maharashtra
172,2,1160.140874,56.0,karnataka
173,3,1465.0766609999998,86.0,karnataka
174,2,895.1661029999999,45.0,Tamil Nadu
175,2,1219.89365,78.0,Maharashtra
176,3,1503.358356,76.1,karnataka
177,3,1669.216859,120.0,karnataka
178,3,1437.28223,66.0,karnataka
179,3,1400.0,91.0,Maharashtra
180,1,625.0,43.0,Maharashtra
181,2,1018.079691,58.0,Maharashtra
182,2,1370.071548,90.0,karnataka
183,3,1778.629087,130.0,karnataka
184,2,1100.052383,63.0,karnataka
185,2,1000.0,65.0,Maharashtra
186,1,470.0162075,29.0,Maharashtra
187,3,1622.324465,81.1,Tamil Nadu
188,3,987.2611465,46.5,Tamil Nadu
189,1,630.0452845,32.0,Maharashtra
190,2,1212.250106,57.0,karnataka
191,2,813.0081301,45.0,Tamil Nadu
192,2,965.7576379,47.1,Tamil Nadu
193,1,650.0072223,45.0,Maharashtra
194,2,985.2911545,48.9,Maharashtra
195,3,1821.238442,130.0,Maharashtra
196,2,1091.061687,52.0,karnataka
197,3,1818.708929,94.1,karnataka
198,3,1475.237092,70.0,karnataka
199,1,680.056935,43.0,Maharashtra
200,3,1941.457587,130.0,karnataka
201,3,1650.165017,100.0,Maharashtra
202,2,1150.180743,70.0,karnataka
203,3,1235.203294,72.0,karnataka
204,3,1615.074024,84.0,karnataka
205,2,1098.885597,77.9,Maharashtra
206,3,1475.237092,70.0,karnataka
207,2,789.0287432,42.0,Maharashtra
208,3,1878.069922,130.0,West Bengal
209,1,650.0,39.0,Maharashtra
210,2,1260.0034050000002,74.0,Maharashtra
211,2,1172.065766,72.0,Maharashtra
212,2,850.1709667000001,54.7,Maharashtra
213,3,1510.211086,88.0,karnataka
214,3,1810.10367,110.0,karnataka
215,3,1220.063263,81.0,West Bengal
216,2,1086.036671,77.0,Maharashtra
217,2,1000.0,59.9,karnataka
218,3,1426.6842800000002,75.6,Tamil Nadu
219,3,1608.884074,89.1,karnataka
220,3,1862.486419,120.0,karnataka
221,2,980.0718719,60.0,West Bengal
222,4,2020.416844,95.0,karnataka
223,3,1607.205934,91.0,karnataka
224,1,570.0087694,39.0,Maharashtra
225,2,1118.956255,72.9,Maharashtra
226,2,1067.362429,67.5,karnataka
227,2,1050.126015,75.0,Maharashtra
228,2,1351.097767,72.0,karnataka
229,3,1335.667834,80.1,Tamil Nadu
230,2,1200.0,75.0,karnataka
231,2,1250.0,87.0,karnataka
232,2,1050.1500210000002,49.0,karnataka
233,2,1078.079059,66.0,Maharashtra
234,3,1609.0693,88.0,karnataka
235,3,1500.150015,100.0,karnataka
236,1,675.9366551,35.0,karnataka
237,3,1761.855821,120.0,Maharashtra
238,3,1509.718499,90.1,karnataka
239,2,1193.058568,77.0,Maharashtra
240,2,1201.034738,65.0,karnataka
241,2,1020.015396,53.0,karnataka
242,2,1250.0,58.0,karnataka
243,3,1630.139467,90.0,karnataka
244,2,637.3882627,32.8,Tamil Nadu
245,2,1170.117012,65.0,karnataka
246,2,657.5052853999999,31.1,karnataka
247,4,2738.89227,180.0,karnataka
248,4,3361.972357,180.0,karnataka
249,2,1183.19858,60.0,karnataka
250,2,1102.1452470000002,56.0,karnataka
251,2,1281.14881,91.0,karnataka
252,2,936.3745498,46.8,Maharashtra
253,2,1000.0,53.0,karnataka
254,2,1070.854899,60.0,karnataka
255,3,1815.248084,90.0,karnataka
256,2,960.1024109,45.0,karnataka
257,2,1040.041602,60.0,Maharashtra
258,2,835.0424846,57.0,Maharashtra
259,2,1050.094932,71.9,Maharashtra
260,2,822.0786847,42.0,Maharashtra
261,2,688.0,34.4,Tamil Nadu
262,4,2269.825507,160.0,karnataka
263,3,1319.078034,95.0,Maharashtra
264,1,657.9909342999999,45.0,Maharashtra
265,1,739.9577167,35.0,karnataka
266,3,1760.057471,98.0,karnataka
267,2,1230.116649,58.0,karnataka
268,2,1215.848949,85.0,karnataka
269,2,762.1339751,38.0,Tamil Nadu
270,2,686.0823299,49.0,Maharashtra
271,2,958.1208469,62.0,Maharashtra
272,2,1106.19469,55.0,karnataka
273,2,888.1330310000001,47.0,Tamil Nadu
274,2,1152.073733,80.0,Maharashtra
275,3,1300.0,65.0,West Bengal
276,2,1100.178891,61.5,Maharashtra
277,2,1166.180758,68.0,karnataka
278,2,933.9285714,52.3,Tamil Nadu
279,3,1381.02472,100.0,Maharashtra
280,2,918.2292673,47.5,Maharashtra
281,2,1075.066013,57.0,karnataka
282,4,3840.0,240.0,karnataka
283,2,1350.135014,75.0,karnataka
284,2,1285.235561,65.2,West Bengal
285,1,690.0978976,43.0,Maharashtra
286,3,1727.861771,120.0,Maharashtra
287,3,1489.772289,77.2,karnataka
288,2,1152.073733,70.0,karnataka
289,2,1099.830795,52.0,karnataka
290,1,609.059764,32.0,Maharashtra
291,3,2104.967724,150.0,Maharashtra
292,2,704.1072925,42.0,Tamil Nadu
293,2,1250.0,71.0,karnataka
294,3,2265.202997,130.0,Maharashtra
295,2,1250.0,80.0,Maharashtra
296,3,1399.224806,72.2,karnataka
297,3,1390.076989,65.0,Maharashtra
298,2,1094.010755,59.0,Maharashtra
299,2,874.1614149000001,43.0,Tamil Nadu
300,2,1300.0,65.0,karnataka
301,3,1338.613861,67.6,Tamil Nadu
302,1,675.024108,35.0,Maharashtra
303,3,1472.75405,100.0,karnataka
304,3,1535.21397,80.0,karnataka
305,3,1791.822772,110.0,Tamil Nadu
306,3,1398.15014,65.0,karnataka
307,2,1330.008313,80.0,karnataka
308,3,1462.857143,76.8,Tamil Nadu
309,2,1270.110076,60.0,karnataka
310,1,585.0234009,30.0,Maharashtra
311,2,1300.085251,61.0,karnataka
312,2,755.1279724,41.6,Tamil Nadu
313,2,800.0,50.0,West Bengal
314,2,1096.774194,79.9,karnataka
315,3,1495.016611,90.0,karnataka
316,3,2050.149819,130.0,karnataka
317,2,1041.214751,48.0,West Bengal
318,1,649.9059347,38.0,Tamil Nadu
319,3,1349.007516,70.0,West Bengal
320,3,1185.037122,83.0,Maharashtra
321,3,2118.644068,130.0,Maharashtra
322,1,582.9204314,40.0,Maharashtra
323,2,1084.90566,57.5,karnataka
324,2,680.0518135,42.0,karnataka
325,3,1934.547799,120.0,karnataka
326,2,1201.000834,72.0,karnataka
327,2,1100.803958,53.4,Maharashtra
328,2,1020.197857,49.5,karnataka
329,4,3262.158956,220.0,karnataka
330,2,918.1020474,56.5,Maharashtra
331,2,1140.0175390000002,78.0,Maharashtra
332,3,1611.08426,100.0,Maharashtra
333,2,1265.022138,80.0,karnataka
334,2,1600.0,100.0,karnataka
335,1,884.1407257000001,48.0,karnataka
336,2,1250.0,60.0,karnataka
337,1,750.0750075,50.0,Maharashtra
338,3,1852.224683,92.0,karnataka
339,2,1047.036082,65.0,Maharashtra
340,3,1448.131443,89.9,karnataka
341,2,1255.158184,73.0,karnataka
342,2,975.0812568,54.0,Maharashtra
343,3,1724.1379309999998,80.0,Maharashtra
344,4,1600.0,100.0,West Bengal
345,2,1260.080645,75.0,karnataka
346,3,1616.062684,99.0,karnataka
347,2,1029.962547,55.0,karnataka
348,2,960.0698233,44.0,Tamil Nadu
349,2,944.9811004,45.0,karnataka
350,3,2085.195115,140.0,Maharashtra
351,2,1450.230719,88.0,Maharashtra
352,1,484.6858225,30.7,Maharashtra
353,2,1188.461538,61.8,karnataka
354,2,1200.154859,62.0,karnataka
355,3,1160.092807,55.0,West Bengal
356,2,816.1599673999999,40.0,Tamil Nadu
357,1,625.0,40.0,Maharashtra
358,2,1235.087719,88.0,karnataka
359,2,1272.827892,69.0,karnataka
360,2,1235.037051,65.0,West Bengal
361,2,1139.864449,74.0,karnataka
362,3,1523.925632,100.0,karnataka
363,2,1151.9790890000002,61.7,karnataka
364,2,1000.0,46.0,karnataka
365,2,950.0146156,65.0,Tamil Nadu
366,3,2104.457624,110.0,karnataka
367,2,1125.0,60.3,Maharashtra
368,2,1359.084406,95.0,karnataka
369,3,1157.050293,75.0,karnataka
370,2,1091.314031,58.8,karnataka
371,3,1265.08369,65.0,karnataka
372,3,1876.696394,96.8,West Bengal
373,2,1079.913607,70.0,Maharashtra
374,2,930.0444804,46.0,Maharashtra
375,2,1210.202942,65.0,karnataka
376,3,1525.262154,80.0,karnataka
377,3,1500.176491,85.0,karnataka
378,3,1520.064856,75.0,karnataka
379,3,1822.157434,100.0,karnataka
380,2,1108.021077,75.7,Maharashtra
381,4,2572.729072,130.0,Tamil Nadu
382,1,644.0382942000001,37.0,karnataka
383,1,650.0541712,42.0,Maharashtra
384,2,778.0659504,42.0,Tamil Nadu
385,2,905.0609531,49.0,karnataka
386,2,1100.060277,73.0,karnataka
387,3,1300.108342,60.0,West Bengal
388,2,994.8415623,54.0,Maharashtra
389,3,1733.232856,92.0,West Bengal
390,3,1562.757032,95.0,karnataka
391,1,549.0337728,30.4,Maharashtra
392,1,530.0018928999999,28.0,Maharashtra
393,3,1221.0724369999998,64.9,West Bengal
394,2,755.033557,45.0,Maharashtra
395,2,712.1057986000001,35.0,West Bengal
396,3,2080.0,130.0,karnataka
397,3,1026.15359,61.6,Tamil Nadu
398,4,2170.20617,140.0,karnataka
399,2,932.0175439,68.0,Tamil Nadu
400,2,775.1091703,42.6,Tamil Nadu
401,3,1521.1439,100.0,karnataka
402,2,852.9188778999999,45.0,Maharashtra
403,2,1250.0,90.0,Maharashtra
404,2,800.0,46.4,karnataka
405,1,618.0932759,33.0,Tamil Nadu
406,2,1150.086256,80.0,Maharashtra
407,1,750.0468779,40.0,Maharashtra
408,1,540.0,27.0,Maharashtra
409,3,1389.813582,83.5,karnataka
410,3,1805.555556,130.0,karnataka
411,2,1215.361446,80.7,karnataka
412,2,1046.0251050000002,75.0,Maharashtra
413,3,700.0,42.0,Maharashtra
414,3,1803.801859,130.0,karnataka
415,1,584.03634,27.0,West Bengal
416,1,611.0711717999999,34.0,Maharashtra
417,3,1660.072252,96.5,West Bengal
418,2,1275.016139,79.0,karnataka
419,2,1177.212529,56.0,karnataka
420,2,1379.0386130000002,70.0,Tamil Nadu
421,8,2720.0,170.0,karnataka
422,3,2285.278994,120.0,karnataka
423,3,1307.189542,86.0,Tamil Nadu
424,1,594.0940066000001,34.0,Maharashtra
425,2,581.2220566000001,39.0,Maharashtra
426,2,715.0595883,33.0,Maharashtra
427,3,1404.918033,85.7,karnataka
428,2,1010.10101,68.0,karnataka
429,3,1660.23166,86.0,karnataka
430,3,2000.0,130.0,karnataka
431,2,1010.10101,50.0,West Bengal
432,1,560.1034037000001,26.0,Maharashtra
433,2,1157.052918,68.0,karnataka
434,2,840.0,42.0,West Bengal
435,2,1070.072489,62.0,karnataka
436,2,1444.141689,79.5,karnataka
437,2,1305.220884,65.0,karnataka
438,2,1160.092807,65.0,Maharashtra
439,4,3400.204012,200.0,karnataka
440,3,1585.014409,110.0,West Bengal
441,1,900.0,45.0,Maharashtra
442,3,1550.169109,110.0,karnataka
443,1,469.924812,25.0,Tamil Nadu
444,2,1325.158228,67.0,karnataka
445,2,1150.049358,69.9,karnataka
446,1,600.0738552,32.5,Maharashtra
447,3,1555.176821,73.0,karnataka
448,2,1216.8421050000002,57.8,Tamil Nadu
449,3,1856.320772,100.0,karnataka
450,2,1216.10288,87.0,karnataka
451,2,1139.589905,57.8,karnataka
452,2,1020.116992,71.5,Maharashtra
453,2,1353.057911,75.0,karnataka
454,3,1100.0,57.2,West Bengal
455,2,971.8899522,65.0,Maharashtra
456,3,144598.33800000002,7830.0,karnataka
457,4,1814.583333,87.1,West Bengal
458,3,1499.000666,90.0,Tamil Nadu
459,2,952.0,47.6,Tamil Nadu
460,3,1919.720768,99.0,West Bengal
461,2,915.1572927,48.0,karnataka
462,2,1115.114085,65.0,karnataka
463,2,1250.0,79.9,Maharashtra
464,2,867.8881389000001,45.0,Tamil Nadu
465,1,721.069293,41.0,Maharashtra
466,3,1724.732666,100.0,karnataka
467,3,1780.223337,110.0,karnataka
468,1,707.1302297999999,36.0,Maharashtra
469,2,905.0576752,51.0,karnataka
470,3,1400.162338,69.0,Tamil Nadu
471,2,1508.750754,100.0,karnataka
472,3,1460.230201,85.0,karnataka
473,2,1084.462982,52.0,West Bengal
474,2,910.8653221,42.0,Maharashtra
475,2,915.1062931,65.0,Maharashtra
476,3,1000.0,65.0,West Bengal
477,2,850.1794822999999,45.0,karnataka
478,3,1665.04787,120.0,karnataka
479,2,904.9360146,49.5,karnataka
480,3,1680.8552760000002,84.9,karnataka
481,2,882.4742267999999,42.8,Tamil Nadu
482,2,1499.842122,95.0,karnataka
483,1,610.9979632999999,33.0,Maharashtra
484,2,712.1057986000001,35.0,West Bengal
485,2,1057.942708,65.0,karnataka
486,3,1715.9199239999998,90.0,karnataka
487,2,708.072021,35.0,karnataka
488,2,1025.040269,70.0,Tamil Nadu
489,3,2335.4856440000003,170.0,West Bengal
490,3,2530.577815,180.0,Maharashtra
491,2,577.0463774,27.0,West Bengal
492,2,1200.0,69.0,Maharashtra
493,2,1065.088757,54.0,karnataka
494,2,1303.214596,75.0,karnataka
495,3,1398.04274,70.0,karnataka
496,2,1335.23233,75.0,karnataka
497,2,1050.052503,60.0,karnataka
498,4,2124.269782,120.0,Maharashtra
499,2,1082.940963,59.8,Maharashtra
500,2,1035.177721,56.5,Maharashtra
501,2,935.1256575,48.0,karnataka
502,2,950.1187648,60.0,West Bengal
503,2,1165.161666,80.0,karnataka
504,2,1282.051282,65.0,Maharashtra
505,3,1934.576152,110.0,karnataka
506,2,1100.0,66.0,karnataka
507,2,1390.0472619999998,100.0,karnataka
508,3,1992.882562,140.0,karnataka
509,2,1060.022026,77.0,karnataka
510,3,1343.660549,79.8,Maharashtra
511,2,900.0,45.0,Tamil Nadu
512,2,912.0389137,45.0,West Bengal
513,3,1655.130906,110.0,karnataka
514,3,1641.791045,110.0,Tamil Nadu
515,2,1000.0,60.0,karnataka
516,2,909.9181074,50.0,karnataka
517,2,1079.837139,61.0,karnataka
518,2,1355.156635,77.0,karnataka
519,2,715.1253918,36.5,Maharashtra
520,3,2502.944641,170.0,karnataka
521,3,1483.858031,74.0,Tamil Nadu
522,3,1300.041271,63.0,Tamil Nadu
523,3,1245.059289,63.0,West Bengal
524,2,1080.1828,52.0,karnataka
525,2,659.8984772000001,39.0,karnataka
526,3,1753.0190879999998,90.0,Tamil Nadu
527,3,1742.517425,85.0,karnataka
528,2,1027.038357,49.0,Tamil Nadu
529,3,1619.753919,96.1,karnataka
530,2,1198.156682,78.0,karnataka
531,3,1148.083285,59.0,West Bengal
532,1,620.0676437000001,33.0,Maharashtra
533,2,1250.0,90.0,karnataka
534,2,1190.098381,75.0,karnataka
535,4,2695.035461,190.0,karnataka
536,3,1761.0748,97.0,Tamil Nadu
537,2,1420.252805,100.0,karnataka
538,2,860.0829366,56.0,Maharashtra
539,3,1110.1766189999998,66.0,West Bengal
540,2,1230.0123,60.0,karnataka
541,2,1070.009172,70.0,karnataka
542,4,2674.217398,170.0,Maharashtra
543,3,1490.041052,98.0,Maharashtra
544,2,952.3809524,62.6,Tamil Nadu
545,2,715.0595883,33.0,karnataka
546,2,1125.0,72.0,karnataka
547,2,667.090216,42.0,Maharashtra
548,2,1117.068811,75.0,Maharashtra
549,2,1203.519256,72.5,karnataka
550,3,1270.186899,70.0,Maharashtra
551,2,936.0649947,53.0,karnataka
552,2,1183.020181,68.0,Tamil Nadu
553,3,1100.0,66.0,karnataka
554,1,665.0901567000001,45.0,Maharashtra
555,3,1504.8469,97.8,West Bengal
556,3,1454.82389,95.0,Maharashtra
557,3,1477.759716,100.0,karnataka
558,3,1111.111111,75.0,karnataka
559,2,1120.071685,75.0,karnataka
560,3,1655.130906,110.0,karnataka
561,2,1000.0,50.0,West Bengal
562,4,1924.187031,100.0,karnataka
563,2,983.1230542000002,60.0,Tamil Nadu
564,5,2110.149821,100.0,karnataka
565,2,1036.050666,63.8,Maharashtra
566,3,1636.0601,98.0,karnataka
567,2,700.0840101,50.0,West Bengal
568,2,905.9794645,45.0,Maharashtra
569,3,1358.080579,90.0,Tamil Nadu
570,2,1100.917431,60.0,karnataka
571,2,1060.06006,70.6,Maharashtra
572,2,789.3617021000001,37.1,Tamil Nadu
573,2,700.0,35.0,West Bengal
574,2,680.0649614,33.5,Tamil Nadu
575,3,2008.320184,140.0,karnataka
576,2,1200.082764,58.0,karnataka
577,2,1000.0,65.0,Maharashtra
578,2,1275.218881,67.0,karnataka
579,2,924.1755934,44.0,Tamil Nadu
580,3,1815.248084,90.0,karnataka
581,2,1145.093492,79.0,Maharashtra
582,3,1153.039832,66.0,West Bengal
583,4,4247.460757,230.0,karnataka
584,2,792.9515418999999,45.0,Tamil Nadu
585,4,2026.184539,130.0,karnataka
586,3,1436.053387,85.0,karnataka
587,2,900.0163639,55.0,Tamil Nadu
588,2,1000.0,55.0,karnataka
589,2,1200.0,60.0,karnataka
590,2,1209.904333,86.0,karnataka
591,2,1170.062538,58.0,karnataka
592,2,1057.195953,51.2,Maharashtra
593,2,1080.0,70.2,Maharashtra
594,2,967.4675739,45.5,karnataka
595,3,1376.699029,70.9,West Bengal
596,2,1230.555983,79.9,karnataka
597,4,2121.640736,120.0,West Bengal
598,2,1035.001882,55.0,karnataka
599,2,1174.989509,56.0,karnataka
600,3,134517.7665,9540.0,Tamil Nadu
601,1,618.0694419,34.0,Tamil Nadu
602,2,1150.097466,59.0,Maharashtra
603,3,1598.113208,84.7,Tamil Nadu
604,3,1299.873623,72.0,karnataka
605,2,1015.123265,49.0,karnataka
606,2,1303.930968,68.0,karnataka
607,1,650.0893873,40.0,Maharashtra
608,2,1185.067514,74.6,karnataka
609,2,1265.022138,60.0,karnataka
610,2,1274.285714,66.9,karnataka
611,2,904.9773756,60.0,karnataka
612,3,1507.0557609999998,110.0,karnataka
613,2,686.5475995,41.9,Maharashtra
614,2,1221.166893,63.0,karnataka
615,2,1212.121212,68.0,karnataka
616,2,1243.108661,69.9,Tamil Nadu
617,2,1150.086256,60.0,karnataka
618,2,1190.003967,60.0,karnataka
619,3,1260.040951,80.0,karnataka
620,3,1689.8608350000002,85.0,karnataka
621,2,1150.103214,78.0,Maharashtra
622,1,833.6983501,57.1,Tamil Nadu
623,2,1100.020371,54.0,karnataka
624,3,1670.227229,86.0,karnataka
625,1,678.070581,44.0,karnataka
626,2,1158.940397,70.0,karnataka
627,2,1424.020986,76.0,karnataka
628,2,686.0,34.3,Tamil Nadu
629,2,1199.926158,65.0,karnataka
630,2,1050.105011,70.0,karnataka
631,2,1120.099564,72.0,Maharashtra
632,3,1541.781091,78.6,Tamil Nadu
633,2,1025.056948,54.0,Maharashtra
634,3,1694.2771079999998,90.0,karnataka
635,2,1040.077659,75.0,Maharashtra
636,2,775.0356924,38.0,West Bengal
637,1,588.004704,30.0,Tamil Nadu
638,2,850.0510031,50.0,karnataka
639,2,1055.926544,75.9,karnataka
640,2,1089.126883,60.0,karnataka
641,1,525.0875146000001,27.0,Tamil Nadu
642,3,1700.0,85.0,karnataka
643,3,1583.531275,100.0,karnataka
644,3,1250.0,60.0,West Bengal
645,2,1062.959935,65.0,Maharashtra
646,3,1365.138669,95.0,West Bengal
647,2,1145.038168,75.0,karnataka
648,3,1570.048309,78.0,karnataka
649,4,3750.375038,250.0,karnataka
650,2,1040.041602,60.0,Maharashtra
651,3,1620.111732,87.0,karnataka
652,2,1026.119403,55.0,Maharashtra
653,1,690.0750964,34.0,karnataka
654,2,899.9052731,57.0,Maharashtra
655,2,1050.052503,60.0,Maharashtra
656,3,1834.862385,120.0,Tamil Nadu
657,2,1207.041073,72.0,karnataka
658,3,1036.062961,52.0,West Bengal
659,2,967.1476819,63.0,Tamil Nadu
660,3,2078.669651,130.0,karnataka
661,2,880.938642,45.8,Tamil Nadu
662,3,2635.277583,150.0,karnataka
663,2,1025.179856,57.0,karnataka
664,3,1650.227618,87.0,karnataka
665,1,666.0323501,35.0,Maharashtra
666,2,980.0490025,56.0,Maharashtra
667,1,610.0942873,33.0,Maharashtra
668,2,1341.184167,82.0,karnataka
669,3,2049.780381,140.0,karnataka
670,2,895.1005025000001,57.0,Maharashtra
671,3,1921.250495,97.1,Tamil Nadu
672,3,1260.126013,84.0,karnataka
673,3,1575.299307,75.0,Tamil Nadu
674,1,592.8005284,35.9,Maharashtra
675,2,988.1756757000002,46.8,Maharashtra
676,3,1409.910844,68.0,karnataka
677,2,1000.0,46.0,Maharashtra
678,3,1896.034129,120.0,karnataka
679,2,1111.111111,60.0,Tamil Nadu
680,2,1135.03305,60.1,karnataka
681,1,563.0278386,36.0,Maharashtra
682,2,1206.1233960000002,78.0,West Bengal
683,1,584.9908073,35.0,Maharashtra
684,1,602.0642202,42.0,Maharashtra
685,3,1330.008313,80.0,karnataka
686,3,1470.047777,80.0,West Bengal
687,1,560.0229753,39.0,Maharashtra
688,2,1200.154859,62.0,karnataka
689,1,650.0072223,45.0,Maharashtra
